id_festival,envergure_territoriale_festival,code_insee_commune_festival,adresse_postale_festival,complement_adresse_festival,geocodage_xy_festival,latitude_festival,longitude_festival,id_commune,GeoPoint_festival
292,Départementale,71463,17 Rue principale,Grange d'Arc au Chemier,"46.2267056236, 4.25094648512",46.2267056236,4.25094648512,27885,POINT(4.25094648512 46.2267056236)
6509,,71470,1789 route route du lac,,"46.3371050724, 4.62126526251",46.3371050724,4.62126526251,27891,POINT(4.62126526251 46.3371050724)
3565,,71479,2720 route route de St Sernin,salle polyvalente,"46.8386475435, 4.42378430368",46.8386475435,4.42378430368,27899,POINT(4.42378430368 46.8386475435)
4265,,71480,1 Rue Mazenay,,"46.892384215, 4.61739889874",46.892384215,4.61739889874,27900,POINT(4.61739889874 46.892384215)
5676,,71491,,,"46.4071746209, 4.05766988687",46.4071746209,4.05766988687,27911,POINT(4.05766988687 46.4071746209)
502,Intercommunale,71525,,Le Bourg,"46.3708080231, 4.67295100196",46.3708080231,4.67295100196,27944,POINT(4.67295100196 46.3708080231)
1345,Régionale,71540,24 Avenue Du 8 mai 1945,,"46.7663790814, 4.44629007139",46.7663790814,4.44629007139,27958,POINT(4.44629007139 46.7663790814)
1215,Intercommunale,71542,1 Rue du Moulin,Moulin des Roches,"46.6826511645, 4.14773994061",46.6826511645,4.14773994061,27960,POINT(4.14773994061 46.6826511645)
876,Intercommunale,71543,17 Rue Granges,,"46.5651726015, 4.90012429206",46.5651726015,4.90012429206,27961,POINT(4.90012429206 46.5651726015)
3255,,71543,21 Rue de l'hôpital,Cour du musée Greuse,"46.5651726015, 4.90012429206",46.5651726015,4.90012429206,27961,POINT(4.90012429206 46.5651726015)
4643,,71543,37 Rue de la République,,"46.5651726015, 4.90012429206",46.5651726015,4.90012429206,27961,POINT(4.90012429206 46.5651726015)
4644,,71543,,,"46.5651726015, 4.90012429206",46.5651726015,4.90012429206,27961,POINT(4.90012429206 46.5651726015)
6342,,71543,37 Rue de la République,,"46.5651726015, 4.90012429206",46.5651726015,4.90012429206,27961,POINT(4.90012429206 46.5651726015)
1829,,71547,,,"46.3907231408, 4.48743569605",46.3907231408,4.48743569605,27965,POINT(4.48743569605 46.3907231408)
4471,,71556,,,"46.2683636158, 4.8066970954",46.2683636158,4.8066970954,27974,POINT(4.8066970954 46.2683636158)
1197,Intercommunale,71570,Rue Devant Saône,,"46.877805287, 4.97685538795",46.877805287,4.97685538795,27986,POINT(4.97685538795 46.877805287)
4752,,71582,1 Place Ciné Pause,,"46.4606978689, 4.60125621922",46.4606978689,4.60125621922,27997,POINT(4.60125621922 46.4606978689)
