id_festival,decennie_creation_festival,annee_creation_festival,periode_principale_deroulement_festival
1572,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
1685,De 2000 à 2009,2003,Saison (21 juin - 5 septembre)
6026,,,
6785,2010 et après,2011,Avant-saison (1er janvier - 20 juin)
468,De 1990 à 1999,1992,Saison (21 juin - 5 septembre)
1066,De 1990 à 1999,,
1116,De 1990 à 1999,1999,Avant-saison (1er janvier - 20 juin)
2532,2010 et après,,Après-saison (6 septembre - 31 décembre)
5001,2010 et après,2016,Saison (21 juin - 5 septembre)
6111,De 1990 à 1999,1998,Avant-saison (1er janvier - 20 juin)
7096,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
5895,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
7021,De 1990 à 1999,1993,Saison (21 juin - 5 septembre)
1878,De 2000 à 2009,2008,Saison (21 juin - 5 septembre)
2234,De 1990 à 1999,1995,Avant-saison (1er janvier - 20 juin)
4583,De 2000 à 2009,,Après-saison (6 septembre - 31 décembre)
1483,De 2000 à 2009,2008,Avant-saison (1er janvier - 20 juin)
2809,De 1990 à 1999,1993,Saison (21 juin - 5 septembre)
2842,,,Avant-saison (1er janvier - 20 juin)
3000,2010 et après,,Avant-saison (1er janvier - 20 juin)
4391,2010 et après,2018,Saison (21 juin - 5 septembre)
6060,,,Saison (21 juin - 5 septembre)
1843,2010 et après,2019,Après-saison (6 septembre - 31 décembre)
6441,2010 et après,2011,Avant-saison (1er janvier - 20 juin)
961,2010 et après,2015,Après-saison (6 septembre - 31 décembre)
3944,2010 et après,,Après-saison (6 septembre - 31 décembre)
4956,De 2000 à 2009,2004,Avant-saison (1er janvier - 20 juin)
7097,De 2000 à 2009,,Avant-saison (1er janvier - 20 juin)
1043,2010 et après,2016,Saison (21 juin - 5 septembre)
5303,2010 et après,,Avant-saison (1er janvier - 20 juin)
6022,2010 et après,,Après-saison (6 septembre - 31 décembre)
2590,De 1990 à 1999,1999,Saison (21 juin - 5 septembre)
68,De 2000 à 2009,2006,Saison (21 juin - 5 septembre)
2970,De 2000 à 2009,2008,Saison (21 juin - 5 septembre)
1837,2010 et après,2017,Saison (21 juin - 5 septembre)
3028,2010 et après,,Saison (21 juin - 5 septembre)
7180,De 2000 à 2009,,Saison (21 juin - 5 septembre)
1560,Avant 1980,1976,Saison (21 juin - 5 septembre)
1689,De 1980 à 1989,1981,Saison (21 juin - 5 septembre)
1913,De 1990 à 1999,,Avant-saison (1er janvier - 20 juin)
2936,,,
3166,2010 et après,,Saison (21 juin - 5 septembre)
4368,De 1980 à 1989,1980,Saison (21 juin - 5 septembre)
4541,De 1990 à 1999,1998,Saison (21 juin - 5 septembre)
6145,2010 et après,2016,Saison (21 juin - 5 septembre)
6239,De 2000 à 2009,2012,Avant-saison (1er janvier - 20 juin)
1379,De 1990 à 1999,1997,Après-saison (6 septembre - 31 décembre)
2124,2010 et après,,Saison (21 juin - 5 septembre)
2814,,,Saison (21 juin - 5 septembre)
4448,De 2000 à 2009,2005,Saison (21 juin - 5 septembre)
6958,2010 et après,,Avant-saison (1er janvier - 20 juin)
7075,De 2000 à 2009,2000,Après-saison (6 septembre - 31 décembre)
3711,2010 et après,2011,Saison (21 juin - 5 septembre)
268,De 2000 à 2009,2006,Avant-saison (1er janvier - 20 juin)
4929,De 2000 à 2009,,Avant-saison (1er janvier - 20 juin)
1867,2010 et après,2015,Après-saison (6 septembre - 31 décembre)
3091,De 2000 à 2009,2009,Saison (21 juin - 5 septembre)
6142,2010 et après,2015,Saison (21 juin - 5 septembre)
11,De 1990 à 1999,1993,Saison (21 juin - 5 septembre)
1195,De 1980 à 1989,1989,Avant-saison (1er janvier - 20 juin)
